TCGplayer Id,Product Line,Set Name,Product Name,Title,Number,Rarity,Condition,TCG Market Price,TCG Direct Low,TCG Low Price With Shipping,TCG Low Price,Total Quantity,Add to Quantity,TCG Marketplace Price,Photo URL
8927752,Riftbound: League of Legends Trading Card Game,Origins,Targon's Peak,,289/298,Uncommon,Near Mint,0.18,,,,,1,,https://tcgplayer-cdn.tcgplayer.com/product/653083_in_400x400.jpg
8927842,Riftbound: League of Legends Trading Card Game,Origins,Zaun Warrens,,298/298,Uncommon,Near Mint,0.2,,,,,1,,https://tcgplayer-cdn.tcgplayer.com/product/653092_in_400x400.jpg
8927712,Riftbound: League of Legends Trading Card Game,Origins,Reaver's Row,,285/298,Uncommon,Near Mint,0.2,,,,,1,,https://tcgplayer-cdn.tcgplayer.com/product/653079_in_400x400.jpg
8926802,Riftbound: League of Legends Trading Card Game,Origins,Chaos Rune,,166/298,Common,Near Mint,0.03167,,,,,6,,https://tcgplayer-cdn.tcgplayer.com/product/652954_in_400x400.jpg
8925462,Riftbound: League of Legends Trading Card Game,Origins,Fury Rune,,007/298,Common,Near Mint,0.025,,,,,6,,https://tcgplayer-cdn.tcgplayer.com/product/652777_in_400x400.jpg
8925507,Riftbound: League of Legends Trading Card Game,Origins,Magma Wurm,,011/298,Common,Near Mint,0.1,,,,,1,,https://tcgplayer-cdn.tcgplayer.com/product/652782_in_400x400.jpg
8925412,Riftbound: League of Legends Trading Card Game,Origins,Brazen Buccaneer,,002/298,Common,Near Mint,0.02,,,,,3,,https://tcgplayer-cdn.tcgplayer.com/product/652772_in_400x400.jpg
8926947,Riftbound: League of Legends Trading Card Game,Origins,Fading Memories,,180/298,Uncommon,Near Mint,0.075,,,,,2,,https://tcgplayer-cdn.tcgplayer.com/product/652969_in_400x400.jpg
8925637,Riftbound: League of Legends Trading Card Game,Origins,Void Seeker,,024/298,Uncommon,Near Mint,0.135,,,,,2,,https://tcgplayer-cdn.tcgplayer.com/product/652795_in_400x400.jpg
8926927,Riftbound: League of Legends Trading Card Game,Origins,Undercover Agent,,178/298,Common,Near Mint,0.025,,,,,2,,https://tcgplayer-cdn.tcgplayer.com/product/652967_in_400x400.jpg
8927072,Riftbound: League of Legends Trading Card Game,Origins,Rhasa the Sunderer,,195/298,Rare,Near Mint,3.01,,,,,1,,https://tcgplayer-cdn.tcgplayer.com/product/652985_in_400x400.jpg
8926792,Riftbound: League of Legends Trading Card Game,Origins,Cemetery Attendant,,165/298,Common,Near Mint,0.045,,,,,2,,https://tcgplayer-cdn.tcgplayer.com/product/652953_in_400x400.jpg
8925402,Riftbound: League of Legends Trading Card Game,Origins,Blazing Scorcher,,001/298,Common,Near Mint,0.045,,,,,2,,https://tcgplayer-cdn.tcgplayer.com/product/652771_in_400x400.jpg
8925587,Riftbound: League of Legends Trading Card Game,Origins,Raging Soul,,019/298,Uncommon,Near Mint,0.03333,,,,,3,,https://tcgplayer-cdn.tcgplayer.com/product/652790_in_400x400.jpg
8926827,Riftbound: League of Legends Trading Card Game,Origins,Fight or Flight,,168/298,Common,Near Mint,0.09,,,,,3,,https://tcgplayer-cdn.tcgplayer.com/product/652957_in_400x400.jpg
8925452,Riftbound: League of Legends Trading Card Game,Origins,Flame Chompers,,006/298,Common,Near Mint,0.02333,,,,,3,,https://tcgplayer-cdn.tcgplayer.com/product/652776_in_400x400.jpg
8926837,Riftbound: League of Legends Trading Card Game,Origins,Gust,,169/298,Common,Near Mint,0.05,,,,,3,,https://tcgplayer-cdn.tcgplayer.com/product/652958_in_400x400.jpg
8925477,Riftbound: League of Legends Trading Card Game,Origins,Get Excited!,,008/298,Common,Near Mint,0.05,,,,,2,,https://tcgplayer-cdn.tcgplayer.com/product/652779_in_400x400.jpg
8926967,Riftbound: League of Legends Trading Card Game,Origins,Scrapheap,,182/298,Uncommon,Near Mint,0.08667,,,,,3,,https://tcgplayer-cdn.tcgplayer.com/product/652971_in_400x400.jpg
8925422,Riftbound: League of Legends Trading Card Game,Origins,Chemtech Enforcer,,003/298,Common,Near Mint,0.02333,,,,,3,,https://tcgplayer-cdn.tcgplayer.com/product/652773_in_400x400.jpg
8926997,Riftbound: League of Legends Trading Card Game,Origins,Traveling Merchant,,185/298,Uncommon,Near Mint,0.06667,,,,,3,,https://tcgplayer-cdn.tcgplayer.com/product/652974_in_400x400.jpg
8925677,Riftbound: League of Legends Trading Card Game,Origins,Jinx - Demolitionist,,030/298,Rare,Near Mint,0.31,,,,,1,,https://tcgplayer-cdn.tcgplayer.com/product/652802_in_400x400.jpg
8927512,Riftbound: League of Legends Trading Card Game,Origins,Jinx - Loose Cannon,,251/298,Rare,Near Mint,0.25,,,,,1,,https://tcgplayer-cdn.tcgplayer.com/product/653049_in_400x400.jpg
8925712,Riftbound: League of Legends Trading Card Game,Origins,Vi - Destructive,,036/298,Rare,Near Mint,1.64,,,,,1,,https://tcgplayer-cdn.tcgplayer.com/product/652809_in_400x400.jpg
